run#,time,req/s,cpu,mem
320060,1366.81,12.44,NaN,NaN
320061,1326.17,12.82,NaN,NaN
320062,1356.57,12.53,NaN,NaN
320063,1378.99,12.33,NaN,NaN
320064,1342.26,12.67,NaN,NaN
320065,1443.82,11.77,NaN,NaN
320066,1453.43,11.70,NaN,NaN
320067,1382.51,12.30,NaN,NaN
320068,1384.93,12.28,NaN,NaN
320069,1409.30,12.06,NaN,NaN
320070,1567.59,10.84,NaN,NaN
320071,1424.70,11.93,NaN,NaN
320072,1338.58,12.70,NaN,NaN
320073,1336.37,12.72,NaN,NaN
320074,1410.32,12.05,NaN,NaN
320075,1349.52,12.60,NaN,NaN
320076,1325.34,12.83,NaN,NaN
320077,1369.48,12.41,NaN,NaN
320078,1297.15,13.11,NaN,NaN
320079,1359.51,12.50,NaN,NaN
320080,1418.18,11.99,NaN,NaN
320081,1400.62,12.14,NaN,NaN
320082,1497.61,11.35,NaN,NaN
320083,1465.52,11.60,NaN,NaN
320084,1595.05,10.66,NaN,NaN
320085,1326.03,12.82,NaN,NaN
320086,1341.42,12.67,NaN,NaN
320087,1284.88,13.23,NaN,NaN
320088,1308.76,12.99,NaN,NaN
320089,1351.38,12.58,NaN,NaN
320090,1403.55,12.11,NaN,NaN
320091,1373.90,12.37,NaN,NaN
320092,1336.41,12.72,NaN,NaN
320093,1323.48,12.84,NaN,NaN
320094,1415.16,12.01,NaN,NaN
320095,1312.08,12.96,NaN,NaN
320096,1337.55,12.71,NaN,NaN
320097,1367.28,12.43,NaN,NaN
320098,1345.49,12.63,NaN,NaN
320099,1298.22,13.09,NaN,NaN
320100,1450.67,11.72,NaN,NaN
320101,1419.35,11.98,NaN,NaN
320102,1330.92,12.77,NaN,NaN
320103,1301.18,13.07,NaN,NaN
320104,1358.35,12.52,NaN,NaN
320105,1406.12,12.09,NaN,NaN
320106,1303.43,13.04,NaN,NaN
320107,1368.34,12.42,NaN,NaN
320108,1318.10,12.90,NaN,NaN
320109,1634.22,10.40,NaN,NaN
320110,1377.55,12.34,NaN,NaN
320111,1366.33,12.44,NaN,NaN
320112,1367.98,12.43,NaN,NaN
320113,1356.08,12.54,NaN,NaN
320114,1678.47,10.13,NaN,NaN
320115,1461.67,11.63,NaN,NaN
320116,1368.10,12.43,NaN,NaN
320117,1360.82,12.49,NaN,NaN
320118,1383.85,12.28,NaN,NaN
320119,1324.85,12.83,NaN,NaN
320120,1387.77,12.25,NaN,NaN
320121,1322.77,12.85,NaN,NaN
320122,1347.68,12.61,NaN,NaN
320123,1312.53,12.95,NaN,NaN
320124,1285.02,13.23,NaN,NaN
320125,1322.53,12.85,NaN,NaN
320126,1387.77,12.25,NaN,NaN
320127,1327.81,12.80,NaN,NaN
320128,1370.95,12.40,NaN,NaN
320129,1536.90,11.06,NaN,NaN
320130,1343.25,12.66,NaN,NaN
320131,1439.96,11.81,NaN,NaN
320132,1305.36,13.02,NaN,NaN
320133,1353.55,12.56,NaN,NaN
320134,1533.17,11.09,NaN,NaN
320135,1382.25,12.30,NaN,NaN
320136,1352.99,12.56,NaN,NaN
320137,1300.83,13.07,NaN,NaN
320138,1331.20,12.77,NaN,NaN
320139,1442.87,11.78,NaN,NaN
320140,1381.85,12.30,NaN,NaN
320141,1357.03,12.53,NaN,NaN
320142,1343.20,12.66,NaN,NaN
320143,1307.19,13.01,NaN,NaN
320144,1398.59,12.16,NaN,NaN
320145,1415.09,12.01,NaN,NaN
320146,1400.95,12.13,NaN,NaN
320147,1325.33,12.83,NaN,NaN
320148,1347.49,12.62,NaN,NaN
320149,1411.63,12.04,NaN,NaN
320150,1348.95,12.60,NaN,NaN
320151,1349.59,12.60,NaN,NaN
320152,1378.91,12.33,NaN,NaN
320153,1509.17,11.26,NaN,NaN
320154,1451.80,11.71,NaN,NaN
320155,1342.25,12.67,NaN,NaN
320156,1346.91,12.62,NaN,NaN
320157,1395.64,12.18,NaN,NaN
320158,1440.30,11.80,NaN,NaN
320159,1351.75,12.58,NaN,NaN
320160,1341.92,12.67,NaN,NaN
320161,1381.29,12.31,NaN,NaN
320162,1508.21,11.27,NaN,NaN
320163,1482.58,11.47,NaN,NaN
320164,1346.61,12.62,NaN,NaN
320165,1305.85,13.02,NaN,NaN
320166,1402.80,12.12,NaN,NaN
320167,1360.93,12.49,NaN,NaN
320168,1381.24,12.31,NaN,NaN
320169,1344.68,12.64,NaN,NaN
320170,1269.70,13.39,NaN,NaN
320171,1330.08,12.78,NaN,NaN
320172,1364.70,12.46,NaN,NaN
320173,1479.48,11.49,NaN,NaN
320174,1386.98,12.26,NaN,NaN
320175,1352.99,12.56,NaN,NaN
320176,1334.35,12.74,NaN,NaN
320177,1322.33,12.86,NaN,NaN
320178,1408.27,12.07,NaN,NaN
320179,1405.58,12.09,NaN,NaN
320180,1412.10,12.04,NaN,NaN
320181,1407.58,12.08,NaN,NaN
320182,1477.99,11.50,NaN,NaN
320183,1346.09,12.63,NaN,NaN
